t,ax,ay,az,gx,gy,gz
1.82107,-458,289,-47,-3,7,1
1.82109,-389,333,-77,-3,7,1
1.82109,-389,333,-77,-3,7,1
1.82111,-389,333,-77,-3,7,1
1.82112,-328,357,-89,-3,7,1
1.82120,-328,357,-89,-3,7,1
1.82121,-386,318,-97,-3,7,1
1.82122,-386,318,-97,-3,7,1
1.87590,-412,300,-18,-3,7,1
1.87605,-412,300,-18,-3,7,1
1.87607,-394,310,39,-3,7,1
1.87608,-394,310,39,-3,7,1
1.87609,-399,305,2,-3,7,1
1.87611,-399,305,2,-3,7,1
1.87611,-399,305,2,-3,7,1
1.87628,-411,292,-86,-3,7,1
1.87630,-411,292,-86,-3,7,1
1.87631,-413,308,-113,-3,7,1
1.87632,-413,308,-113,-3,7,1
1.87635,-413,308,-113,-3,7,1
1.87638,-414,321,-49,-3,7,1
1.87639,-414,321,-49,-3,7,1
1.87642,-435,305,37,-3,7,1
1.87644,-435,305,37,-3,7,1
1.92765,-396,319,-12,-3,7,1
1.92770,-395,330,-27,-3,7,1
1.92785,-395,330,-27,-3,7,1
1.92793,-420,308,-47,-3,7,1
1.92794,-420,308,-47,-3,7,1
1.92804,-420,308,-47,-3,7,1
1.92806,-420,309,-34,-3,7,1
1.92807,-420,309,-34,-3,7,1
1.92809,-377,335,-22,-3,7,1
1.92810,-377,335,-22,-3,7,1
1.92816,-377,335,-22,-3,7,1
1.92824,-378,327,-62,-3,7,1
1.92826,-378,327,-62,-3,7,1
1.92832,-437,289,-101,-3,7,1
1.92834,-437,289,-101,-3,7,1
1.92835,-437,289,-101,-3,7,1
1.98332,-380,329,32,-3,7,1
1.98337,-374,315,-26,-3,7,1
1.98347,-374,315,-26,-3,7,1
1.98351,-388,315,-54,-3,7,1
1.98359,-388,315,-54,-3,7,1
1.98360,-388,315,-54,-3,7,1
1.98361,-412,333,-58,-3,7,1
1.98363,-412,333,-58,-3,7,1
1.98364,-423,326,-81,-3,7,1
1.98368,-423,326,-81,-3,7,1
1.98371,-423,326,-81,-3,7,1
1.98378,-424,301,-91,-3,7,1
1.98381,-424,301,-91,-3,7,1
1.98390,-410,289,-41,-3,7,1
1.98394,-410,289,-41,-3,7,1
1.98396,-410,289,-41,-3,7,1
2.03641,-433,324,-81,-3,7,1
2.03646,-433,324,-81,-3,7,1
2.03650,-433,324,-81,-3,7,1
2.03653,-457,296,23,-3,7,1
2.03661,-457,296,23,-3,7,1
2.03663,-427,296,97,-3,7,1
2.03664,-427,296,97,-3,7,1
2.03674,-427,296,97,-3,7,1
2.03681,-395,320,100,-3,7,1
2.03683,-395,320,100,-3,7,1
2.03684,-412,314,8,-3,7,1
2.03693,-412,314,8,-3,7,1
2.03697,-412,314,8,-3,7,1
2.03701,-430,300,-87,-3,7,1
2.03706,-430,300,-87,-3,7,1
2.03709,-373,321,-92,-3,7,1
2.08877,-396,303,79,-3,7,1
2.08882,-361,348,57,-3,7,1
2.08889,-361,348,57,-3,7,1
2.08896,-361,348,57,-3,7,1
2.08899,-415,344,-13,-3,7,1
2.08902,-415,344,-13,-3,7,1
2.08919,-380,335,-70,-3,7,1
2.08922,-380,335,-70,-3,7,1
2.08928,-380,335,-70,-3,7,1
2.08941,-313,346,-77,-3,7,1
2.08944,-313,346,-77,-3,7,1
2.08947,-362,352,-61,-3,7,1
2.08956,-362,352,-61,-3,7,1
2.08961,-362,352,-61,-3,7,1
2.08963,-442,336,-82,-3,7,1
2.08966,-442,336,-82,-3,7,1
2.14286,-386,337,8,-3,7,1
2.14302,-386,337,8,-3,7,1
2.14307,-386,337,8,-3,7,1
2.14309,-403,322,-35,-3,7,1
2.14309,-403,322,-35,-3,7,1
2.14314,-403,313,-68,-3,7,1
2.14320,-403,313,-68,-3,7,1
2.14321,-403,313,-68,-3,7,1
2.14326,-404,311,-75,-3,7,1
2.14327,-404,311,-75,-3,7,1
2.14327,-426,303,-66,-3,7,1
2.14330,-426,303,-66,-3,7,1
2.14331,-426,303,-66,-3,7,1
2.14333,-427,295,-34,-3,7,1
2.14335,-427,295,-34,-3,7,1
2.14337,-431,288,2,-3,7,1
2.19374,-404,330,24,-3,7,1
2.19378,-404,330,24,-3,7,1
2.19385,-361,349,20,-3,7,1
2.19387,-361,349,20,-3,7,1
2.19391,-361,349,20,-3,7,1
2.19396,-370,352,-23,-3,7,1
2.19398,-370,352,-23,-3,7,1
2.19403,-388,347,-80,-3,7,1
2.19405,-388,347,-80,-3,7,1
