t,ax,ay,az,gx,gy,gz
1.84932,-383,317,-18,7,-5,-1
1.84939,-383,317,-18,7,-5,-1
1.84942,-528,289,-54,7,-5,-1
1.84947,-528,289,-54,7,-5,-1
1.84948,-528,289,-54,7,-5,-1
1.84949,-468,281,-105,7,-5,-1
1.84955,-468,281,-105,7,-5,-1
1.84956,-335,317,-73,7,-5,-1
1.84957,-335,317,-73,7,-5,-1
1.84964,-335,317,-73,7,-5,-1
1.84965,-368,356,56,7,-5,-1
1.84966,-368,356,56,7,-5,-1
1.90173,-409,376,-219,7,-5,-1
1.90176,-434,338,-168,7,-5,-1
1.90181,-434,338,-168,7,-5,-1
1.90182,-351,329,77,7,-5,-1
1.90183,-351,329,77,7,-5,-1
1.90183,-351,329,77,7,-5,-1
1.90184,-322,367,408,7,-5,-1
1.90184,-322,367,408,7,-5,-1
1.90184,-429,353,558,7,-5,-1
1.90191,-429,353,558,7,-5,-1
1.90192,-429,353,558,7,-5,-1
1.90194,-480,302,385,7,-5,-1
1.90195,-480,302,385,7,-5,-1
1.90196,-376,282,31,7,-5,-1
1.90202,-376,282,31,7,-5,-1
1.90202,-376,282,31,7,-5,-1
1.95559,-497,304,274,7,-5,-1
1.95562,-344,301,172,7,-5,-1
1.95562,-344,301,172,7,-5,-1
1.95569,-344,301,172,7,-5,-1
1.95572,-278,335,53,7,-5,-1
1.95572,-278,335,53,7,-5,-1
1.95573,-440,332,-70,7,-5,-1
1.95574,-440,332,-70,7,-5,-1
1.95585,-440,332,-70,7,-5,-1
1.95586,-529,296,-203,7,-5,-1
1.95586,-529,296,-203,7,-5,-1
1.95591,-403,273,-284,7,-5,-1
1.95591,-403,273,-284,7,-5,-1
1.95598,-403,273,-284,7,-5,-1
1.95603,-316,302,-280,7,-5,-1
1.95612,-316,302,-280,7,-5,-1
2.01077,-382,262,-451,7,-5,-1
2.01086,-373,304,-510,7,-5,-1
2.01087,-373,304,-510,7,-5,-1
2.01096,-373,304,-510,7,-5,-1
2.01098,-443,300,-415,7,-5,-1
2.01101,-443,300,-415,7,-5,-1
2.01104,-504,230,-340,7,-5,-1
2.01110,-504,230,-340,7,-5,-1
2.01111,-504,230,-340,7,-5,-1
2.01113,-435,241,-275,7,-5,-1
2.01119,-435,241,-275,7,-5,-1
2.01122,-333,346,-147,7,-5,-1
2.01123,-333,346,-147,7,-5,-1
2.01130,-333,346,-147,7,-5,-1
2.01133,-391,371,-9,7,-5,-1
2.01136,-391,371,-9,7,-5,-1
2.06637,-421,322,-87,7,-5,-1
2.06643,-319,320,141,7,-5,-1
2.06651,-319,320,141,7,-5,-1
2.06659,-319,320,141,7,-5,-1
2.06663,-333,349,379,7,-5,-1
